,id,title,specs,author,link
102,ILLU_11592_66_0,"
            The Card Players
          ","
            Oil on canvas | 97 x 130cm | c. 1892
          ","
      Paul Cézanne
    ",https://commons.wikimedia.org/wiki/File:Paul_C%C3%A9zanne_222.jpg
103,ILLU_11745_4014_2,"
            The Spreading Pine Tree in the Brühl Valley near Mödling
          ","
            Oil on canvas | 66 x 112cm | 1838
          ","
      Ludwig Ferdinand Schnorr von Carolsfeld
    ",https://sammlung.belvedere.at/objects/1964/die-breite-fohre-nachst-der-bruhl-bei-modling
104,ILLU_11884_170_0,"
            Interior, after Dinner
          ","
            Oil on canvas | 50.2 x 65.4cm | 1868/1869
          ","
      Claude Monet
    ",https://www.nga.gov/collection/art-object-page.61376.html
105,ILLU_11896_94_0,"
            Venus and the Lute Player
          ","
            Oil on canvas | 165.1 x 209.6cm | c. 1565-70
          ","
      Titian and Workshop
    ",https://www.metmuseum.org/art/collection/search/437827
106,ILLU_11995_1612_0,"
            The Drawing Lesson
          ","
            Canvas
          ","
      Jacob Ochtervelt
    ",
107,ILLU_11997_101_0,"
            Tasso in the Madhouse
          ","
            Oil on canvas | 60 x 50cm | 1839
          ","
      Eugène Delacroix
    ",
108,ILLU_12184_911_0,"
            Portrait of a Lady, perhaps Contessa Lucia Albani Avogadro ('La Dama in Rosso')
          ","
            Oil on canvas | 155 x 106.8cm | c. 1556-60
          ","
      Giovanni Battista Moroni
    ",https://www.nationalgallery.org.uk/paintings/giovanni-battista-moroni-portrait-of-a-lady-la-dama-in-rosso
109,ILLU_12197_3803_0,"
            Decorative Figure on an Ornamental Background
          ","
            1925
          ","
      Henri Matisse
    ",
110,ILLU_12220_3102_2,"
            Self-Portrait
          ","
            Oil, panel, tempera | 49.5 x 73.6cm | 1912
          ","
      Otto Dix
    ",
111,ILLU_12252_189_0,"
            Interior, Open Door
          ","
            1920
          ","
      Henri Matisse
    ",
112,ILLU_12641_254_2,"
            Crouching beggar
          ","
            Oil on canvas | 101.2 x 66cm | 1902
          ","
      Pablo Picasso
    ",
113,ILLU_12641_254_3,"
            Woman at a Fountain
          ","
            Oil on canvas | 1901
          ","
      Pablo Picasso
    ",
114,ILLU_12656_467_0,"
            L'Atelier de la rue de la Condamine
          ","
            Huile sur toile | 980 x 1280mm | 1870
          ","
      Édouard Manet
    ",https://fr.wikipedia.org/wiki/L'Atelier_de_Bazille
115,ILLU_12656_467_3,"
            The Bellelli Family
          ","
            Oil on canvas | 2000 x 2500mm | 1858-1869
          ","
      Edgar Degas
    ",https://en.wikipedia.org/wiki/The_Bellelli_Family
116,ILLU_12659_43_1,"
            The Offering
          ","
            Oil on canvas | 68 x 78cm | 1902
          ","
      Paul Gauguin
    ",
117,ILLU_12659_49_0,"
            The Boy in the Red Vest
          ","
            Oil on canvas | 79.5 x 64cm | 1889
          ","
      Paul Cézanne
    ",https://en.wikipedia.org/wiki/The_Boy_in_the_Red_Vest
118,ILLU_12659_50_0,"
            Before the Mirror
          ","
            Oil on canvas | 71.4 x 92.1cm | 1876
          ","
      Édouard Manet
    ",https://commons.wikimedia.org/wiki/File:Manet-Frau-vor-dem-Spiegel.jpg
119,ILLU_12659_51_1,"
            Vase with Irises
          ","
            Oil on canvas | 92.1 x 73.7cm | 1890
          ","
      Vincent van Gogh
    ",
120,ILLU_12659_57_3,"
            The judgment of Paris
          ","
            1908
          ","
      Auguste Renoir
    ",
121,ILLU_12660_505_0,"
            The Battle of Love
          ","
            Oil on canvas | 38 x 46cm | c. 1880
          ","
      Paul Cézanne
    ",https://commons.wikimedia.org/wiki/File:The_Battle_of_Love_A17492.jpg
122,ILLU_12665_508_0,"
            Table
          ","
            Oil on canvas | 1922
          ","
      André Derain
    ",
123,ILLU_12779_377_0,"
            Harlequin leaning
          ","
            Oil on canvas | 82.8 x 61.3cm | 1901
          ","
      Pablo Picasso
    ",
124,ILLU_12779_380_0,"
            Man and woman in café
          ","
            Oil on canvas | 81.5 x 65.5cm | 1903
          ","
      Pablo Picasso
    ",
125,ILLU_13061_277_0,"
            The Bridge over the Seine
          ","
            1874
          ","
      Claude Monet
    ",
126,ILLU_13062_114_0,"
            Tahitian women under the palms
          ","
            Oil on canvas | 1892
          ","
      Paul Gauguin
    ",
127,ILLU_13281_320_0,"
            Still life with commode
          ","
            1883-1887
          ","
      Paul Cézanne
    ",
128,ILLU_13281_324_0,"
            Luncheon in the Studio
          ","
            Oil on canvas | 118 x 153.9cm | 1868
          ","
      Édouard Manet
    ",https://en.wikipedia.org/wiki/Luncheon_in_the_Studio
129,ILLU_13287_24_0,"
            View of the Fortifications
          ","
            1896
          ","
      Henri Rousseau
    ",
130,ILLU_13287_26_0,"
            View of the Banks of the Oise
          ","
            Oil on canvas | 1906
          ","
      Henri Rousseau
    ",
131,ILLU_13291_22_0,"
            After the Luncheon
          ","
            Oil on canvas | 81.3 x 100.5cm | 1879
          ","
      Pierre-Auguste Renoir
    ",https://commons.wikimedia.org/wiki/File:Auguste_Renoir_-_After_the_Luncheon_-_Google_Art_Project.jpg
132,ILLU_13297_326_0,"
            Woman and Child in a Landscape
          ","
            Oil on canvas | 45.7 x 38.1cm | 1846-7
          ","
      Jean-François Millet
    ",https://www.nationalgallery.org.uk/paintings/jean-francois-millet-woman-and-child-in-a-landscape
133,ILLU_13332_341_0,"
            L'Hermitage at Pontoise
          ","
            Oil on canvas | 151.4 x 200.6cm | 1867
          ","
      Camille Pissarro
    ",
134,ILLU_13341_177_0,"
            Woman sitting in a chair
          ","
            1926
          ","
      Henri Matisse
    ",
135,ILLU_13345_142_0,"
            Portrait of composer Emmanual Chabrier
          ","
            Pastel | 1880
          ","
      Édouard Manet
    ",
136,ILLU_13363_313_0,"
            Bathing on the Seine (""La Grenouillere"")
          ","
            Oil on canvas | 59 x 80cm | 1869
          ","
      Auguste Renoir
    ",http://www.arts-museum.ru/
137,ILLU_13398_138_0,"
            Louveciennes
          ","
            Oil on canvas | 1872
          ","
      Camille Pissarro
    ",
138,ILLU_14273_213_0,"
            Fruit dish
          ","
            Oil on canvas | 55 x 38cm | 1912
          ","
      Pablo Picasso
    ",
139,ILLU_14279_124_0,"
            After the Luncheon
          ","
            Oil on canvas | 81.3 x 100.5cm | 1879
          ","
      Pierre-Auguste Renoir
    ",https://commons.wikimedia.org/wiki/File:Auguste_Renoir_-_After_the_Luncheon_-_Google_Art_Project.jpg
140,ILLU_14279_129_1,"
            The Luncheon
          ","
            1868
          ","
      Claude Monet
    ",https://commons.wikimedia.org/wiki/File:The_Luncheon_by_Claude_Monet_-_St%C3%A4del_-_Frankfurt_am_Main_-_Germany_2017.jpg
141,ILLU_14289_275_0,"
            Full moon
          ","
            1919
          ","
      Paul Klee
    ",
142,ILLU_14297_333_0,"
            Dark freshness
          ","
            19.7 x 26.1cm | 1927
          ","
      Vassily Kandinsky
    ",
143,ILLU_14312_290_0,"
            Still Life with Gourds
          ","
            1916
          ","
      Henri Matisse
    ",
144,ILLU_14326_478_2,"
            STATENDAM
          ","
            1928
          ","
      Cassandre
    ",
145,ILLU_14351_140_0,"
            Venice Gondola on Grand Canal
          ","
            Oil on canvas | 41.3 x 29.2cm | 1835
          ","
      Jean-Baptiste Camille Corot
    ",
146,ILLU_14354_811_1,"
            Bauernmädchen mit weißem Kopftuch
          ","
            1876
          ","
      Wilhelm Leibl
    ",
147,ILLU_14364_384_0,"
            Self-portrait in front of red curtain
          ","
            1927
          ","
      Max Beckmann
    ",
148,ILLU_14458_232_0,"
            The Love Lesson
          ","
            Oil on panel | 440 x 610mm | 1716-1717
          ","
      Jean-Antoine Watteau
    ",https://commons.wikimedia.org/wiki/File:Antoine_Watteau_-_The_Love_Lesson_-_Google_Art_Project.jpg
149,ILLU_14489_130_0,"
            Smoker
          ","
            Oil on canvas | 1892
          ","
      Paul Cézanne
    ",
150,ILLU_14751_134_0,"
            A Young Woman
          ","
            1875
          ","
      Auguste Renoir
    ",
151,ILLU_14951_94_0,"
            Concert of Angels (detail from the cental left Crucifixion panel of the Isenheim Altarpiece)
          ","
            Oil on panel | 1515
          ","
      Matthias Grünewald
    ",
152,ILLU_14977_295_1,"
            Still life with commode
          ","
            1883-1887
          ","
      Paul Cézanne
    ",
153,ILLU_14978_329_0,"
            Arab Fantasia
          ","
            Color on canvas | 60.5 x 74.5cm
          ","
      Eugène Delacroix
    ",https://commons.wikimedia.org/wiki/File:Fantasia_arabe.png
154,ILLU_14979_214_0,"
            Christ boy
          ","
            1506
          ","
      Albrecht Dürer
    ",
155,ILLU_14980_253_1,"
            Les Coucous, Tapis Bleu Et Rose
          ","
            1911
          ","
      Henri Matisse
    ",
156,ILLU_14981_389_1,"
            Portrait of Zacharie Astruc
          ","
            Oil on canvas | 90 x 116cm
          ","
      Édouard Manet
    ",https://commons.wikimedia.org/wiki/File:Zacharie_Astruc.JPG
157,ILLU_14987_374_0,"
            Lyon
          ","
            1927
          ","
      Oskar Kokoschka
    ",
158,ILLU_14987_377_0,"
            Self-portrait with a brush up
          ","
            1913
          ","
      Oskar Kokoschka
    ",
159,ILLU_14989_116_0,"
            Madame Hériot
          ","
            1882
          ","
      Auguste Renoir
    ",
160,ILLU_14989_120_2,"
            The Baptism of Christ
          ","
            Oil on canvas | 538 x 465cm | 1581
          ","
      Le Tintoret
    ",
161,ILLU_15039_14_1,"
            Portrait of Alonso de Herrera
          ","
            Oil on panel | 81 x 66cm | 1600
          ","
      Le Greco
    ",
162,ILLU_15062_12_0,"
            Above the clouds
          ","
            Collage on paper | 13cm | 1920
          ","
      Max Ernst
    ",
163,ILLU_15190_170_0,"
            Portrait of a Lady
          ","
            Oil on panel | 37 x 27cm | c. 1460
          ","
      Rogier van der Weyden
    ",https://www.nga.gov/collection/art-object-page.51.html
164,ILLU_15342_130_0,"
            The Rest on the Flight into Egypt
          ","
            
          ","
      Arnold Böcklin
    ",
165,ILLU_15360_152_0,"
            The Flax Barn at Laren
          ","
            Oil on canvas | 135 x 232cm | 1887
          ","
      Max Liebermann
    ",https://commons.wikimedia.org/wiki/File:Max_Liebermann_-_Flachsscheuer_in_Laren_-_Google_Art_Project.jpg
166,ILLU_15678_32_0,"
            Portrait of the artist's father, Lucas Cranach the Elder
          ","
            Oil on panel | 64 x 49cm | 1550
          ","
      Lucas Cranach the Younger
    ",https://en.wikipedia.org/wiki/Portrait_of_Lucas_Cranach_the_Elder
167,ILLU_15680_60_0,"
            Portrait d'homme
          ","
            0.36 x 0.28m
          ","
      Pays-Bas du Sud, vers 1520
    ",https://donate.louvre.fr/particuliers/~mon-don
168,ILLU_15680_61_0,"
            Nicolas Kratzer
          ","
            0.83 x 0.67m
          ","
      Hans Holbein dit le Jeune
    ",https://donate.louvre.fr/particuliers/~mon-don
169,ILLU_15680_74_0,"
            Anne de Clèves (1515 - 1557)
          ","
            0.65 x 0.48m
          ","
      Hans Holbein dit le Jeune
    ",https://donate.louvre.fr/particuliers/~mon-don
170,ILLU_15691_132_0,"
            Diane chasseresse
          ","
            1.91 x 1.32m
          ","
      École de Fontainebleau
    ",https://donate.louvre.fr/particuliers/~mon-don
171,ILLU_15707_120_0,"
            Femmes au jardin
          ","
            Huile sur toile | 255 x 205cm | 1866
          ","
      Claude Monet
    ",https://fr.wikipedia.org/wiki/Femmes_au_jardin_(Monet)
172,ILLU_15819_55_0,"
            George Moore in the Artist's Garden
          ","
            Oil on canvas | 54.6 x 45.1cm | c. 1879
          ","
      Edouard Manet
    ",https://www.nga.gov/collection/art-object-page.136019.html
173,ILLU_15949_79_2,"
            Schadografia Nr 2
          ","
            1919
          ","
      Christian Schad
    ",
174,ILLU_16297_129_0,"
            Hiver à Schwabing
          ","
            Huile sur toile | 23.7 x 32.9cm | 1902
          ","
      Wassily Kandinsky
    ",https://commons.wikimedia.org/wiki/File:Kandinsky_-_Winter_in_Schwabing%2C_1902.jpg?uselang=fr
175,ILLU_16297_132_0,"
            Rapallo, mer orageuse
          ","
            Huile sur toile | 23 x 33cm | 1906
          ","
      Wassily Kandinsky
    ",https://commons.wikimedia.org/wiki/File:Kandinsky_-_Rapallo%2C_st%C3%BCrmische_See%2C_1906.jpg?uselang=fr
0,ILLU_10346_258_0,"
            Christ on the Sea of Galilee
          ","
            Oil on canvas | 18 x 21.5in | 1853 or earlier
          ","
      Eugène Delacroix
    ",https://art.nelson-atkins.org/objects/4748/christ-on-the-sea-of-galilee
1,ILLU_10365_15_0,"
            Chinese Casket
          ","
            1922
          ","
      Henri Matisse
    ",
2,ILLU_10365_21_0,"
            The Three Sisters
          ","
            1917
          ","
      Henri Matisse
    ",
3,ILLU_10397_152_0,"
            Femmes d'Alger dans leur appartement
          ","
            Huile sur toile | 1.8 x 2.29m | Salon de 1834
          ","
      Eugène Delacroix
    ",https://donate.louvre.fr/particuliers/~mon-don
4,ILLU_10447_141_0,"
            The Adam and Eve Tavern, Old Chelsea
          ","
            Etching and drypoint on moderately thick, moderately textured, cream laid paper | 24.8 x 37.5cm | 1878
          ","
      Print made by James McNeill Whistler
    ",https://collections.britishart.yale.edu/catalog/tms:7435
5,ILLU_10459_282_0,"
            After the Luncheon
          ","
            Oil on canvas | 81.3 x 100.5cm | 1879
          ","
      Pierre-Auguste Renoir
    ",https://commons.wikimedia.org/wiki/File:Auguste_Renoir_-_After_the_Luncheon_-_Google_Art_Project.jpg
6,ILLU_10459_287_0,"
            Two Sisters (On the Terrace)
          ","
            Oil on canvas | 100.4 x 80.9cm | 1881
          ","
      Pierre-Auguste Renoir
    ",
7,ILLU_10461_451_0,"
            Miss Alexander (Girl in White)
          ","
            Wood engraving on paper | 27.5 x 14.7cm | 1907
          ","
      Henry Wolf
    ",https://americanart.si.edu/artwork/miss-alexander-girl-white-27890
8,ILLU_10462_28_0,"
            Die junge Pariserin (Die Kokotte)
          ","
            1869
          ","
      Wilhelm Leibl
    ",
9,ILLU_10466_521_0,"
            The Basket of Apples
          ","
            Oil on canvas | 65 x 80cm | c. 1893
          ","
      Paul Cézanne
    ",
10,ILLU_10467_498_0,"
            Still Life with Herrings
          ","
            Oil on canvas | 41 x 33.6cm | c. 1735
          ","
      Jean-Siméon Chardin
    ",https://clevelandart.org/art/1974.1
11,ILLU_10481_291_0,"
            l'Enseigne de Gersaint
          ","
            Painting | 1720
          ","
      Jean-Antoine Watteau
    ",https://en.wikipedia.org/wiki/L'Enseigne_de_Gersaint
12,ILLU_10481_295_0,"
            Madame de Pompadour
          ","
            Oil on canvas | 379 x 463mm | 1758
          ","
      François Boucher
    ","https://commons.wikimedia.org/wiki/File:Attributed_to_Francois_Boucher_-_Madame_de_Pompadour_(Jeanne-Antoinette_Poisson,_1721_-_1764)_-_Google_Art_Project.jpg"
13,ILLU_10481_297_0,"
            The French Comedians
          ","
            Oil on canvas | 57.2 x 73cm | c. 1720
          ","
      Antoine Watteau
    ",https://www.metmuseum.org/art/collection/search/437925
14,ILLU_10486_585_0,"
            A Fishing Boat at Sea
          ","
            Ink on paper | 1888
          ","
      Vincent van Gogh
    ",
15,ILLU_10645_310_0,"
            White Lilacs in a Glass Vase
          ","
            Oil on canvas | 54 x 42cm | c. 1882
          ","
      Édouard Manet
    ",https://en.wikipedia.org/wiki/White_Lilacs_in_a_Glass_Vase
16,ILLU_10652_140_0,"
            Racehorses at Longchamp
          ","
            Oil on canvas | 1875
          ","
      Edgar Degas
    ",
17,ILLU_10652_141_0,"
            The Rehearsal of the Ballet on Stage
          ","
            Pastel on paper | 52.1 x 70.8cm | 1874
          ","
      Edgar Degas
    ",
18,ILLU_10654_146_0,"
            The Absinthe Drinker
          ","
            Oil on canvas | 178 x 103cm | 1859
          ","
      Édouard Manet
    ",https://en.wikipedia.org/wiki/The_Absinthe_Drinker_(Manet_painting)
19,ILLU_10654_152_0,"
            Émile Zola
          ","
            Huile sur toile | 146.5 x 114cm | 1868
          ","
      Édouard Manet
    ",https://fr.wikipedia.org/wiki/Portrait_d'%C3%89mile_Zola
20,ILLU_10654_153_0,"
            Young Lady in 1866
          ","
            Oil on canvas | 185.1 x 128.6cm | 1866
          ","
      Edouard Manet
    ",https://www.metmuseum.org/art/collection/search/436964
21,ILLU_10654_155_0,"
            Le Balcon
          ","
            Huile sur toile | 170 x 124.5cm | 1868-1869
          ","
      Édouard Manet
    ",https://en.wikipedia.org/wiki/The_Balcony_(painting)
22,ILLU_10665_540_0,"
            The Seine, View from the Quay de Pont du Jour
          ","
            Oil on canvas | 54 x 65cm | 1878
          ","
      Alfred Sisley
    ",
23,ILLU_10670_183_0,"
            Renoir: La Loge (Theatre Box)
          ","
            oil on canvas | 1874
          ","
      Auguste Renoir
    ",
24,ILLU_10670_184_0,"
            In the Garden (Under the trees of Moulin de la Galette)
          ","
            Oil on canvas | 81 x 65cm | 1876
          ","
      Auguste Renoir
    ",http://www.arts-museum.ru/
25,ILLU_10670_187_0,"
            Dancer with a Bouquet of Flowers
          ","
            Pastel | 40 x 50cm | 1878
          ","
      Edgar Degas
    ",
26,ILLU_10670_191_0,"
            Pierrot and Harlequin
          ","
            Oil on canvas | 102 x 81cm | c. 1888
          ","
      Paul Cézanne
    ",
27,ILLU_10709_89_0,"
            Le Cheval blanc
          ","
            Huile sur toile | 140.5 x 92cm | 1898
          ","
      Paul Gauguin
    ",https://commons.wikimedia.org/wiki/File:Paul_Gauguin_-_The_White_Horse_-_Google_Art_Project.jpg?uselang=fr
28,ILLU_10709_92_0,"
            Green Wheat Fields, Auvers
          ","
            Oil on canvas | 72.4 x 91.4cm | 1890
          ","
      Vincent van Gogh
    ",https://www.nga.gov/collection/art-object-page.163323.html
29,ILLU_10720_483_0,"
            L'Hermitage at Pontoise
          ","
            Oil on canvas | 151.4 x 200.6cm | 1867
          ","
      Camille Pissarro
    ",
30,ILLU_10725_397_0,"
            Woman fastening her garter
          ","
            Oil on canvas | 1878
          ","
      Édouard Manet
    ",
31,ILLU_10737_9_0,"
            Le sculpteur Lorenzo Bartolini
          ","
            1.08 x 0.86m | 1820
          ","
      Jean-Auguste-Dominique Ingres
    ",https://donate.louvre.fr/particuliers/~mon-don
32,ILLU_10759_413_0,"
            Die Jugend des Zeus
          ","
            1905
          ","
      Lovis Corinth
    ",
33,ILLU_10791_542_0,"
            The Pontifical mass
          ","
            
          ","
      Le Nain
    ",
34,ILLU_10881_196_0,"
            The Dance Lesson
          ","
            Pastel | 65 x 56cm | 1879
          ","
      Edgar Degas
    ",
35,ILLU_10888_642_1,"
            Red Spot II
          ","
            1921
          ","
      Wassily Kandinsky
    ","https://commons.wikimedia.org/wiki/File:Vassily_Kandinsky,_1921_-_Red_spot_II.jpg"
36,ILLU_10942_292_0,"
            La chemise enlevée, baigneuses
          ","
            Peinture à l'huile, Toile (matériau) | 208 x 219cm | 1913
          ","
      Gaston de Latouche
    ",https://parismuseescollections.paris.fr/node/244574
37,ILLU_10945_335_0,"
            Self-portrait with white turbaned
          ","
            Oil on canvas | 55 x 46cm | 1882
          ","
      Paul Cézanne
    ",
38,ILLU_10948_171_0,"
            Jason
          ","
            Huile sur toile | 204 x 121.5cm | 1865
          ","
      Gustave Moreau
    ",https://commons.wikimedia.org/wiki/File:Moreau_-_Jason_et_M%C3%A9d%C3%A9e.jpg?uselang=fr
39,ILLU_10964_370_1,"
            Etchings of Paris:  The Notre Dame Pump
          ","
            Etching | 1852
          ","
      Charles Meryon
    ",https://clevelandart.org/art/1937.636
40,ILLU_10965_161_0,"
            Gondola
          ","
            Oil on canvas | 54.6 x 66cm | 1881
          ","
      Auguste Renoir
    ",
41,ILLU_10967_87_0,"
            A Woman Clothed with the Sun
          ","
            Lithograph | 23 x 28.6cm | 1899
          ","
      Odilon Redon
    ",https://clevelandart.org/art/1926.140.6
42,ILLU_10970_87_0,"
            Boy by the Water
          ","
            Oil on canvas | 1885
          ","
      Paul Gauguin
    ",
43,ILLU_10976_215_0,"
            Wheat Fields after the Rain
          ","
            Oil on canvas | 73 x 92cm
          ","
      Vincent van Gogh
    ",https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Wheat_Fields_after_the_Rain_(1890).jpg
44,ILLU_11245_674_0,"
            Three Fishing Boats
          ","
            Oil on canvas | 73 x 92.5cm | 1885
          ","
      Claude Monet
    ",https://commons.wikimedia.org/wiki/File:Claude_Monet_005.jpg
45,ILLU_11288_478_0,"
            Portrait of Antoine Valabregue
          ","
            Oil on canvas | 1871
          ","
      Paul Cézanne
    ",
46,ILLU_11290_143_0,"
            The Spanish Singer
          ","
            Oil on canvas | 147.3 x 114.3cm | 1860
          ","
      Edouard Manet
    ",https://www.metmuseum.org/art/collection/search/436944
47,ILLU_11290_211_0,"
            The Races at Longchamp
          ","
            Oil on canvas | 44 x 84.2cm | 1866
          ","
      Édouard Manet
    ",
48,ILLU_11305_405_0,"
            The Painter Paul Herrmann and the Physician Paul Contard
          ","
            Oil on canvas | 54 x 73cm | 1897
          ","
      Edvard Munch
    ",https://sammlung.belvedere.at/objects/2632/der-maler-paul-herrmann-und-der-arzt-paul-contard
49,ILLU_11308_44_0,"
            Berthe Morisot
          ","
            Oil on fabric | 74 x 60cm | c. 1869-73
          ","
      Edouard Manet
    ",https://clevelandart.org/art/1958.34
50,ILLU_11311_209_0,"
            Smoker
          ","
            Oil on canvas | 92.5 x 73.5cm | Between 1890 and 1892
          ","
      Paul Cézanne
    ",https://www.hermitagemuseum.org/wps/portal/hermitage/digital-collection/01.+paintings/28720
51,ILLU_11312_252_0,"
            We want Barabbas (Ecce Homo)
          ","
            1852
          ","
      Honoré Daumier
    ",
52,ILLU_11321_147_1,"
            To Russia, with Asses and Others
          ","
            Oil on canvas | 156 x 122cm | 1912
          ","
      Marc Chagall
    ",
53,ILLU_11329_700_0,"
            Smokers
          ","
            1912
          ","
      Fernand Léger
    ",
54,ILLU_11340_648_2,"
            Farmhouse with Two Figures
          ","
            Oil on canvas | 45 x 38cm | 1890
          ","
      Vincent van Gogh
    ",
55,ILLU_11363_113_0,"
            Pierrot and Harlequin
          ","
            Oil on canvas | 102 x 81cm | c. 1888
          ","
      Paul Cézanne
    ",
56,ILLU_11374_379_1,"
            Deer in the Forest II
          ","
            Oil on canvas | 110 x 100.5cm | 1914
          ","
      Franz Marc
    ",
57,ILLU_11374_385_0,"
            Dr. Mayer-Hermann
          ","
            Oil and tempera on wood | 149.2 x 99.1cm | Berlin 1926
          ","
      Otto Dix
    ",
58,ILLU_11379_91_0,"
            Portrait of Henri Rochefort
          ","
            Oil on canvas | 81.5 x 66.5cm | 1881
          ","
      Édouard Manet
    ",https://commons.wikimedia.org/wiki/File:%C3%89douard_Manet_-_Portrait_Henri_Rochefort2.jpg
59,ILLU_11388_389_0,"
            Avignon from the West
          ","
            Oil on canvas | 34 x 73.2cm | 1836
          ","
      Jean-Baptiste-Camille Corot
    ",https://www.nationalgallery.org.uk/paintings/jean-baptiste-camille-corot-avignon-from-the-west
60,ILLU_11388_396_1,"
            Music in the Tuileries Gardens
          ","
            Oil on canvas | 76.2 x 118.1cm | 1862
          ","
      Edouard Manet
    ",https://www.nationalgallery.org.uk/paintings/edouard-manet-music-in-the-tuileries-gardens
61,ILLU_11388_397_1,"
            Hillside in Provence
          ","
            Oil on canvas | 63.5 x 79.4cm | c. 1890-2
          ","
      Paul Cézanne
    ",https://www.nationalgallery.org.uk/paintings/paul-cezanne-hillside-in-provence
62,ILLU_11412_1003_1,"
            Domino Players
          ","
            1921
          ","
      Henri Matisse
    ",
63,ILLU_11418_61_0,"
            Terrasse à Sainte-Adresse
          ","
            Huile sur toile | 98.1 x 129.9cm | 1867
          ","
      Claude Monet
    ",https://www.metmuseum.org/art/collection/search/437133
64,ILLU_11419_101_0,"
            Self-Portrait with a Straw Hat (obverse: The Potato Peeler)
          ","
            Oil on canvas | 40.6 x 31.8cm | 1887
          ","
      Vincent van Gogh
    ",https://www.metmuseum.org/art/collection/search/436532
65,ILLU_11419_101_1,"
            Head of a Peasant Woman
          ","
            Oil on canvas | 43.8 x 34.6cm | 1884
          ","
      Vincent van Gogh
    ",https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Head_of_a_Peasant_Woman.jpg
66,ILLU_11440_604_0,"
            Velléda
          ","
            Huile sur toile | 0.83 x 0.55m | Vers 1868 - 1870
          ","
      Camille Corot
    ",https://donate.louvre.fr/particuliers/~mon-don
67,ILLU_11461_269_0,"
            Self-Portrait with Masks
          ","
            Oil | 120 x 80cm | 1899
          ","
      James Ensor
    ",
68,ILLU_11463_107_0,"
            The Sleeping Gypsy
          ","
            Oil on canvas | 129.5 x 200.7cm | 1897
          ","
      Henri Rousseau
    ",
69,ILLU_11467_223_0,"
            Enclosed Field with Peasant
          ","
            Oil on canvas | 29 x 36.2in | Saint-rémy, early
          ","
      Vincent van Gogh
    ",https://en.wikipedia.org/wiki/Enclosed_Field_with_Peasant
70,ILLU_11477_128_1,"
            View of L'Estaque
          ","
            Oil on canvas | 60 x 73cm | 1883
          ","
      Paul Cézanne
    ",
71,ILLU_11478_134_0,"
            Medea
          ","
            Watercolor on cardboard | 38 x 20cm | 1882
          ","
      Paul Cézanne
    ",
72,ILLU_11493_289_0,"
            The Lovers
          ","
            Oil on linen | 130.2 x 97.2cm | 1923
          ","
      Pablo Picasso
    ",https://www.nga.gov/collection/art-object-page.46667.html
73,ILLU_11501_226_0,"
            Pierre-François Bernier
          ","
            Oil | 1800
          ","
      Jean-Auguste-Dominique Ingres
    ",https://commons.wikimedia.org/wiki/File:Bernier-Ingres-1800.jpg
74,ILLU_11503_399_0,"
            Le Violoncelliste Pilet
          ","
            Huile sur toile | 500 x 610mm | 1868 and 1869
          ","
      Edgar Degas
    ",https://commons.wikimedia.org/wiki/File:Edgar_Degas_-_The_Cellist_Pilet_-_Google_Art_Project.jpg?uselang=fr
75,ILLU_11515_249_0,"
            Wheat Field with Mower and a Stooping Peasant Woman
          ","
            Chalk on paper | 1885
          ","
      Vincent van Gogh
    ",
76,ILLU_11521_91_0,"
            La rencontre
          ","
            Huile sur toile | 132.4 x 151cm | 1854
          ","
      Gustave Courbet
    ",https://en.wikipedia.org/wiki/La_rencontre
77,ILLU_11527_195_0,"
            Langlois Bridge at Arles with Women Washing, The
          ","
            Oil on canvas | 54 x 65cm | 1888
          ","
      Vincent van Gogh
    ",https://commons.wikimedia.org/wiki/File:Van_Gogh_-Die_Br%C3%BCcke_von_Langlois_in_Arles_mit_W%C3%A4scherinnen.jpeg
78,ILLU_11564_197_0,"
            Surprised!
          ","
            Oil on canvas | 129.8 x 161.9cm | 1891
          ","
      Henri Rousseau
    ",https://www.nationalgallery.org.uk/paintings/henri-rousseau-surprised
79,ILLU_11567_247_0,"
            Bathers
          ","
            Oil on canvas | 73 x 92cm | 1904
          ","
      Paul Cézanne
    ",
80,ILLU_11573_403_1,"
            Project for Portraits in a Frieze - Three Women
          ","
            1879
          ","
      Edgar Degas
    ",
81,ILLU_11575_449_0,"
            Willows and characters in a boat
          ","
            Oil on canvas | 92.8 x 74cm | c. 1880
          ","
      Pierre-Auguste Renoir
    ",https://commons.wikimedia.org/wiki/File:Saules_et_personnages_dans_une_barque.jpg
82,ILLU_11575_451_0,"
            Snow Effect, The Boulevard de Pontoise at Argenteuil
          ","
            1875
          ","
      Claude Monet
    ",
83,ILLU_11577_56_0,"
            At the Theatre (La Première Sortie)
          ","
            Oil on canvas | 65 x 49.5cm | 1876-7
          ","
      Pierre-Auguste Renoir
    ",https://www.nationalgallery.org.uk/paintings/pierre-auguste-renoir-at-the-theatre-la-premiere-sortie
84,ILLU_11577_59_0,"
            The Execution of Maximilian
          ","
            Oil on canvas | 193 x 284cm | c. 1867-8
          ","
      Edouard Manet
    ",https://www.nationalgallery.org.uk/paintings/edouard-manet-the-execution-of-maximilian
